year,predictor,mean_abs_coef,max_abs_coef,n_levels,predictor_track,target_column,permutation_repeats,permutation_unique_values,permutation_rmse_increase_mean,permutation_rmse_increase_std,permutation_r2_drop_mean,permutation_r2_drop_std
2019,gender,0.0060007058062687855,0.0060007058062687855,1,trend,rwp_score,20,2,6.092195538703327e-05,8.696024191200876e-05,0.0007709344792647566,0.0011003076541794374
2019,income,0.012202319472021038,0.028257234404399027,3,trend,rwp_score,20,5,0.0009868963705947462,0.00015938145977177263,0.012529273081066366,0.0020314250444597656
2019,marital_status,0.015814048268242856,0.03387462889105458,4,trend,rwp_score,20,5,0.001971727359555443,0.00034633697875410433,0.02513160809364585,0.004444736014736276
2019,region,0.00044816206084897717,0.0015792986582661755,4,trend,rwp_score,20,3,3.0721060486849084e-06,1.0722528891369794e-05,3.8854541424487855e-05,0.00013559659925852622
2019,religion,0.02221665641359036,0.04234033003752309,2,trend,rwp_score,20,4,0.003338085651856165,0.0006171078369910825,0.04278110634845597,0.008011787024768879
2019,religiosity,0.03065043889071883,0.03650316101796112,3,trend,rwp_score,20,5,0.0009848344057755269,0.00022548409963216403,0.012504192453613904,0.0028736239799705457
2019,tenure,0.00016470214013011172,0.00032940428026022344,2,trend,rwp_score,20,3,0.00010321926736956976,7.037599354111364e-05,0.001306030800237612,0.0008907505078840173
2024,age,0.0006735831233708623,0.0006735831233708623,1,trend,rwp_score,20,60,0.0009634958767247986,0.0002416369477798017,0.009811184978384424,0.0024684275784200085
2024,class,0.003416915254445138,0.009457671519032033,3,trend,rwp_score,20,4,8.624170465892228e-05,9.020021088707948e-05,0.0008758948006212409,0.0009163052654769987
2024,education,0.08740448898696804,0.12701729660939168,2,trend,rwp_score,20,4,0.01731908465934881,0.001051864744611255,0.18528314882604296,0.011811968742250073
2024,employment_status,0.04461251086096808,0.056063128764571424,4,trend,rwp_score,20,6,0.00411748534637397,0.0004809684490356247,0.04233648770580135,0.005003856388809863
2024,ethnicity,0.053887322130680274,0.08028667802155505,4,trend,rwp_score,20,6,0.0033860764742644767,0.0003779965068451426,0.03473662131032891,0.003919697562130289
2024,gender,0.011131296373795556,0.011131296373795556,1,trend,rwp_score,20,3,0.0002497710871683864,0.00012694708652295943,0.002537808553144877,0.0012906608329252365
2024,income,0.012560619107284919,0.030858034619111328,3,trend,rwp_score,20,5,0.0016621382306283086,0.00034726873475196725,0.016962566218426456,0.0035585248612901303
2024,marital_status,0.03645865828583107,0.06263776782257643,4,trend,rwp_score,20,5,0.0040945679320974785,0.0006424570153334125,0.042103359744621406,0.006689170557423208
2024,region,0.0107745089659873,0.027752030620397525,4,trend,rwp_score,20,3,0.00018044394399553687,0.00011366750748224908,0.0018330516809602182,0.0011551727273169804
2024,religion,0.03542063306497936,0.06213057558420422,2,trend,rwp_score,20,4,0.006186070852839849,0.00046604638763141765,0.06400512669293916,0.004915972934471464
2024,religiosity,0.025915243550256994,0.03328163091609989,3,trend,rwp_score,20,5,0.0006794351211351621,0.00021168894684479148,0.0069126511692731984,0.002158787358159656
2024,tenure,0.014444774978621445,0.017091928289684286,2,trend,rwp_score,20,4,0.00035511712528958904,0.00014110834718036487,0.0036092695708791643,0.001435463873582751
